class,fname,seconds,bytes
US,glb_S_000032_046_486.flac,4.7,139161
US,glb_S_000032_046_487.flac,4.499958,134489
US,glb_S_000032_046_488.flac,1.3,40945
US,glb_S_000032_046_489.flac,3.099958,90850
US,glb_S_000032_046_490.flac,2.6,83970
US,glb_S_000039_105_10.flac,4.099958,108722
US,glb_S_000039_105_11.flac,3.1,89338
US,glb_S_000039_105_22.flac,3.9,106019
US,glb_S_000039_105_28.flac,3.699958,101384
US,glb_S_000039_105_30.flac,3.9,96878
US,glb_S_000039_105_33.flac,3.1,83921
US,glb_S_000039_105_35.flac,3.299958,91562
US,glb_S_000039_105_37.flac,4.5,124844
US,glb_S_000039_105_38.flac,3.6,95903
US,glb_S_000039_105_41.flac,4.499958,120537
US,glb_S_000039_105_42.flac,2.1,59210
US,glb_S_000039_105_46.flac,2.9,81558
US,glb_S_000039_105_49.flac,2.9,80684
US,glb_S_000039_105_50.flac,5.2,140252
US,glb_S_000039_105_58.flac,2.2,65118
US,glb_S_000039_105_59.flac,3.7,104525
US,glb_S_000039_105_66.flac,2.0,57088
US,glb_S_000039_105_67.flac,5.2,141019
US,glb_S_000039_105_69.flac,3.7,103742
US,glb_S_000039_105_8.flac,3.5,99178
US,glb_S_000068_091_1164.flac,2.6,74547
US,glb_S_000068_091_1165.flac,3.899958,108316
US,glb_S_000068_091_1166.flac,3.8,104655
US,glb_S_000068_091_1167.flac,2.1,61932
US,glb_S_000068_091_1168.flac,4.7,126339
US,glb_S_000068_091_1169.flac,3.199958,86172
US,glb_S_000068_091_1170.flac,3.0,82603
US,glb_S_000068_091_1171.flac,3.1,86326
US,glb_S_000068_091_1172.flac,6.3,166976
US,glb_S_000068_091_1173.flac,3.5,99276
US,glb_S_000068_091_1175.flac,4.699958,128756
US,glb_S_000068_091_1176.flac,2.3,66438
US,glb_S_000068_091_1177.flac,4.0,106492
US,glb_S_000068_091_1178.flac,3.9,111379
US,glb_S_000068_091_1179.flac,4.1,112311
US,glb_S_000068_091_1180.flac,3.8,104489
